,Template,Frequency,Class
1378,[O:3].[N:1]-[C:4]=[N:2]>>[N:1].[N:2].C-[Si](-C)(-C)-[O:3].Cl-[C:4]=O_12-10_0000_0000,1,1379
1379,[C:1]-[O:2]>>Cl-[C:1].C-C(=O)-O-C-[O:2]_00_00_00,1,1380
1380,[N:2].[C:1]=[S:3]>>O=[C:1].C-C(-C)(-C)-O-C(=O)-[N:2].S=P12-S-P3(=S)-S-P(=S)(-S-1)-S-P(=[S:3])(-S-2)-S-3_0-10_000_000,1,1381
1381,[O:2].[O:3].[o:1]:[c:4]:[n:5]>>[O:1].C-[O:2].C-[O:3].O=[C:4]-[N:5]_1-1-101_00000_00000,1,1382
1382,[N:3].[c:1]-[C:2]>>Cl-[c:1].N#[C]-[Zn]-[C:2].C-O-c1:c:c:c(-C-[N:3]):c:c:1_00-1_000_000,1,1383
1383,[O:3].[F:1]-[C:2]>>[F:1].O-[C:2].[O:3]-C1-C-C-C-C-O-1_00-1_-100_000,1,1384
1384,[N:1]-[C:2].[O:3]=[c:4]:[n:5]>>[N:1].C1-C-O-[C:2]-O-C-1.C-[O:3]-[c:4]:[n:5]_1-100-1_00000_00000,1,1385
1385,[N:2].[N:1]-[C:3]>>[N:1].O=C(-[N:2])-O-C-c1:c:c:c:c:c:1.[C:3]-O-n1:n:n:c2:c:c:c:n:c:2:1_1-10_000_000,1,1386
1386,[C:1]-[N:2]>>N-[C:1].O=C(-[N:2])-O-C-c1:c:c:c:c:c:1_00_00_00,1,1387
1387,[o:1]:[c:3]:[o:2]>>[O:1].[O:2].Cl-[C:3]-Cl_110_000_000,1,1388
1388,[N:3].[O:1]-[c:2]>>[O:1].Br-[c:2].C-O-c1:c:c:c(-C-[N:3]):c(-O-C):c:1_10-1_000_000,1,1389
1389,[N:3].[n:1]:[c:4]:[n:2]>>[N:1].[N:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-C(=O)-O-[C:4]=O_12-10_0000_0000,1,1390
1390,[O:3].[S:1]-[C:2]>>[S:1].Br-[C:2].[O:3]-C-c1:c:c:c:c:c:1_10-1_000_000,1,1391
1391,[c:2]:[n:1]:[c:3]:[c:4]>>[N:1].Cl-[c:2].C-O-N(-C)-[C:3]=[C:4]_2000_0000_0000,1,1392
1392,[c:5]1:[c:4]:[c:3]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-C-O/[C:3]=[C:4]/[C:5]=O_21000_00000_00000,1,1393
1393,[C:1]-[C:3]-[N:2]>>[Br]-[Mg]-[C:1].C-C(-C)(-C)-[S@](=O)/[N:2]=[C:3]_0-20_000_000,1,1394
1394,[N:3].[N:4].[N:5].[N:6].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-C(-C)(-C)-O-C(=O)-[N:4].C-C(-C)(-C)-O-C(=O)-[N:5].C-C(-C)(-C)-O-C(=O)-[N:6]_10-1-1-1-1_000000_000000,1,1395
1395,[c:1]-[C:2]>>Cl-[c:1].C-C(-C)-[Si](-[C:2])(-C(-C)-C)-C(-C)-C_00_00_00,1,1396
1396,[N:4].[n:1]:[c:2]:[n:3]>>[N:1].O-[C:2]=O.O=[N:3]-[O-].[N:4]-C-c1:c:c:c:c:c:1_20-1-1_0010_0000,1,1397
1397,[O:4].[O:3].[S:1]-[C:2]>>[S:1].[C:2]-[O:3].C-C(-C)(-C)-[Si](-C)(-C)-[O:4]_10-1-1_0000_0000,1,1398
1398,[K:2]-[O:4]-[S:3]-[c:1]>>[c:1].[Cl]-[K:2].O-[S:3]-[O:4]_1001_0000_0000,1,1399
1399,[C:2]=[O:3].[O:5]-[B:4](-[O:6])-[c:1]>>I-[c:1].C-C-O-[C:2]-[O:3]-C-C.C-C(-C)-O-[B:4](-[O:5]-C(-C)-C)-[O:6]-C(-C)-C_0000-1-1_000000_000000,1,1400
1400,[N:1]-[C:2]>>O=[N:1]-[O-].C-C-C-C-C-C-C-C-C-C-O-[C:2]_-10_10_00,1,1401
1401,[O:1]-[P:2]>>[O:1].N#C-C-C-O-[P:2]_10_00_00,1,1402
1402,[c:2]1:[n:1]:[o:5]:[c:4]:[n:3]:1>>O/[N:1]=[C:2]/[N:3].C-C(-C)-C(=O)-O-[C:4]=[O:5]_00200_00000_00000,1,1403
1403,[O:1]=[C:2]>>[O:1]=[Mn]=[O].O-C(=O)-c1:c:c:c(/C=[C:2]):c:c:1_00_00_00,1,1404
1404,[O:4].[O:5].[O:6].[O:7].[O:1].[c:2]-[c:3]>>C-C(=O)-[O:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[c:3].[O:4]-C-c1:c:c:c:c:c:1.[O:5]-C-c1:c:c:c:c:c:1.[O:6]-C-c1:c:c:c:c:c:1.[O:7]-C-c1:c:c:c:c:c:1_-100-1-1-1-1_0000000_0000000,1,1405
1405,[c:2]:[n:1]:[c:3]:[c:4]>>[N:1].Br-[c:2].Br-[C:3]=[C:4]_2000_0000_0000,1,1406
1406,[Cl:3]-[C:4].[Cl:1]-[C:2]>>[Br:1]-[C:2].[Br:3]-[C:4]_0000_0000_0000,1,1407
1407,[O:2].[O:1].[n:3]:[c:4]-[N:5]>>C-[O:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-[Si](-C)(-C)-C-C-O-C-[n:3]\[c:4]=[N:5]_-1-100-1_00000_00000,1,1408
1408,[O:5].[C:1]-[C:2].[O:3]=[C:4]>>[C:1]=[C:2].C1-C-[O:3]-[C:4]-O-1.[O:5]-C-c1:c:c:c:c:c:1_-1-100-1_00000_00000,1,1409
1409,[F:1]-[c:2].[F:3]-[c:4].[F:5]-[c:6].[F:7]-[c:8]>>[Cl:1]-[c:2].[Cl:3]-[c:4].[Cl:5]-[c:6].[Cl:7]-[c:8]_00000000_00000000_00000000,1,1410
1410,[O:1]-[c:2]>>[O:1].Cl-C(-O-C(=O)-O-[c:2])-C(-Cl)(-Cl)-Cl_10_00_00,1,1411
1411,[N:3].[Br:1]-[c:2]>>[Br:1].Cl-[c:2].C-C(-C)(-C)-O-C(=O)-[N:3]_10-1_000_000,1,1412
1412,[O:1]-[C:2]>>[O:1].F-c1:c:c(-F):c(-C-N-[C:2]):c(-F):c:1_10_00_00,1,1413
1413,[O:4].[O:2].[O:1]-[c:3]>>[O:1].C-[O:2].I-[c:3].C-[O:4]_1-10-1_0000_0000,1,1414
1414,[P:1]-[N:2]=[c:3]:[n:4]>>Cl-[P:1].[N:2]-[c:3]:[n:4]_020-1_0000_0000,1,1415
1415,[C:1]-[N:2]-[O:3]>>C-O-[C:1].[N:2]-[O:3]-C1-C-C-C-C-O-1_01-1_000_000,1,1416
1416,[N:3].[c:1]-[C:2]>>Br-[c:1].[Br]-[Zn]-[C:2].C-O-c1:c:c:c(-C-[N:3]):c:c:1_00-1_000_000,1,1417
1417,[C:1]-[n:2]>>[C:1].[n:2]_11_00_00,1,1418
1418,[O:1].[c:2]:[s:3]:[c:4]:[n:5]>>C-[O:1].I-[c:2].[Na]-[S:3]-[Na].O=[C:4]-[N:5]_-10001_00000_00000,1,1419
1419,[n:2].[N:1]-[C:3]>>[N:1].[n:2].Br-[C:3]_110_010_000,1,1420
1420,[N:3].[n:2]:[c:4]:[o:1]>>[O:1].[N:2].C-C(-C)(-C)-O-C(=O)-[N:3].F-C(-F)(-F)-C(=O)-O-[C:4]=O_12-10_0000_0000,1,1421
1421,[n:3].[n:1]-[c:2]>>[n:1].I-[c:2].C-C(-C)(-C)-O-C(=O)-[n:3]_10-1_000_000,1,1422
1422,[O:2].[o:1]:[c:3]:[n:4]>>[O:1].C-C(=O)-[O:2].O=[C:3]-[N:4]_1-101_0000_0000,1,1423
1423,[N:1]-[C:2]>>[N:1].[C:2]-N-[O-]_10_00_00,1,1424
1424,[C:2]1-[C:1]-[N:3]=[C:4]-[O:5]-1>>Cl-[C:1]-[C:2](-Cl)=O.[N:3]-[C:4]=[O:5]_0-2200_00000_00000,1,1425
1425,[O:1]-[C:2]1=[C:3]-[C:4]-[C:5]-[C:6]=[C:7]-1>>C-[O:1]-[c:2]1:[c:3]:[c:4]:[c:5]:[c:6]:[c:7]:1_-100-1-100_0000000_0000000,1,1426
1426,[c:1]1:[c:4]:[o:5]:[c:3]:[n:2]:1>>[C:1]-[N:2]#[C:3].C-C-C-C-C-C-C(=O)-O-[C:4]=[O:5]_20-100_01-100_00000,1,1427
1427,[O:3].[O:4].[O:5].[c:1]-[c:2]>>I-[c:1].O-B(-O)-[c:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5]_00-1-1-1_00000_00000,1,1428
1428,[O:2].[c:3]:[c:4]:[n:1]>>[N:1].C-[Si](-C)(-C)-[O:2].[C:3]#[C:4]_1-1-10_0000_0000,1,1429
1429,[N:2].[c:1]-[C:3]-[N:4]>>[c:1].O=C(-[N:2])-c1:c:c:c:c:c:1.O-[C:3]-[N:4]1-C(=O)-c2:c:c:c:c:c:2-C-1=O_1-10-2_0000_0000,1,1430
1430,[C:3].[N:1]-[C:2]>>[N:1].I-[C:2].C-C(-C)-[Si](-[C:3])(-C(-C)-C)-C(-C)-C_10-1_000_000,1,1431
1431,[N:4].[O:1]-[C:3]-[O:2]>>[O:1].[O:2].Cl-[C:3]-Cl.[N:4]-C-c1:c:c:c:c:c:1_110-1_0000_0000,1,1432
1432,[N:1]-[C:2]>>[N:1]-[Na].F-[C:2]_00_00_01,1,1433
1433,[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].C-O-[C:3]_300_100_000,1,1434
1434,[N:4].[O:1]-[C:2]=[N:3]>>[O:1].[C:2]#[N:3].C-C(-C)(-C)-O-C(=O)-[N:4]_10-1-1_0000_0000,1,1435
1435,[O:4].[n:1]:[c:3]:[n:2]>>[N:1].[N:2].O-[C:3]=O.C-O-c1:c:c:c(-C-[O:4]):c:c:1_210-1_0000_0000,1,1436
1436,[N:3].[O:4].[c:1]-[N:2]>>[c:1].O-[N:2].F-C(-F)(-F)-C(=O)-[N:3].F-C(-F)(-F)-S(=O)(=O)-[O:4]_10-1-1_0000_0000,1,1437
1437,[C:1]-[N:2]-[N:3]>>Cl-[C:1].C-C(-C)(-C)-O-C(=O)-[N:2]-[N:3]-C(=O)-O-C(-C)(-C)-C_00-1_000_000,1,1438
1438,[O:1].[O:2].[C:3]-[O:4]>>C-C-[O:1].C-C(=O)-[O:2].[C:3]=[O:4]_-1-1-1-1_0000_0000,1,1439
1439,[C:1]-[S:4]-[C:3]-[O:2]>>[C:1]-[O:2].[C:3]=[S:4]_0000_0000_0000,1,1440
1440,[O:5].[O:4].[C:2]-[N:1]-[C:3]>>[N:1].O=[C:2].O=[C:3].C-C(-C)(-C)-[O:4].C-C(-C)(-C)-[O:5]_2-1-1-1-1_00000_00000,1,1441
1441,[N:1]-[C:2]>>[N:1].C-c1:c:c(-N-c2:n:c:c:c(-O-c3:c:c:c(-N-[C:2]):c4:c:c:c:c:c:3:4):n:2):c:c2:c:n:[nH]:c:1:2_10_00_00,1,1442
1442,[n:3].[N:1]-[S:2]>>[N:1].[K]-[O]-[S:2].C-c1:c:c:c(-S(=O)(=O)-[n:3]):c:c:1_10-1_000_000,1,1443
1443,[O:2].[c:1]-[C:3]>>Br-[c:1].C-O-C(=O)-[O:2].N#[C]-[Zn]-[C:3]_0-10_000_000,1,1444
1444,[C:1]-[O:2]>>Cl-[C:1].C-S(=O)(=O)-O-C-C-[O:2]_00_00_00,1,1445
1445,[O:4].[C:3].[c:1]-[C:2]>>[c:1].[C:2].[C:3]-[O:4]_11-1-1_0000_0000,1,1446
1446,[N:1]-[C:3]-[N:2]>>[N:1].[N:2].C-O-c1:c:c:c(-c2:c:c(-[N+](=O)-[O-]):c:c:c:2-O-[C:3]-[O-]):c:c:1_110_000_000,1,1447
1447,[O:1]-[C:2]>>[O:1].C-O-c1:c:c:c(-C2-O-C-C(-C)(-C(=O)-O-[C:2])-C-O-2):c:c:1_10_00_00,1,1448
1448,[n:5].[c:1]:[n:3]:[n:4]:[c:2]>>C-O-[C:1].O=[C:2].[N:3]-[N:4].O=S(=O)(-[n:5])-c1:c:c:c:c:c:1_0012-1_00000_00000,1,1449
1449,[O:1]=[C:2]>>[O:1].C-C-O-C(=O)-N-N=[C:2]_20_00_00,1,1450
1450,[N:4].[C:2]-[C:3]-[O:1]>>[O:1].[C:2].O=[C:3].C-C(-C)(-C)-O-C(=O)-[N:4]_110-1_0000_0000,1,1451
1451,[c:1]-[S:2]>>Cl-[c:1].N-c1:c:c:c(-O):c:c:1-[S:2]_00_00_00,1,1452
1452,[N:3].[S:1]-[C:2]>>[Na]-[S:1].[C:2]-[N:3]_00-1_000_010,1,1453
1453,[c:1]1:[n:3]:[n:4]:[n:5]:[n:2]:1>>Cl\[C:1]=[N:2].[N:3]=[N:4]=[N:5]-[Na]_00000_00-110_00000,1,1454
1454,[c:1]-[S:2]>>Br-[c:1].N-C(=[NH2+])-[S:2]_00_00_00,1,1455
1455,[N:3].[O:1]-[C:4](=[O:5])-[c:2]>>[O:1].I-[c:2].C-C(=O)-[N:3].[C:4]#[O:5]_10-100_000-11_00000,1,1456
1456,[O:2].[O:1]-[C:3]>>[O:1].[O:2]-C-c1:c:c:c:c:c:1.C-O-c1:c:c:c(-C-O-[C:3]):c:c:1_1-10_000_000,1,1457
1457,[N:4].[N:1]=[C:2]-[N:3]>>[N:1].[C:2]#[N:3].C-C(-C)(-C)-O-C(=O)-[N:4]_20-2-1_0000_0000,1,1458
1458,[N:3].[n:1]:[c:4]:[n:2]>>[N:1].[N:2].C-C(-C)(-C)-O-C(=O)-[N:3].F-C(-F)-C(=O)-O-[C:4]=O_12-10_0000_0000,1,1459
1459,[O:1]=[C:2]-[C:3]>>[O:1].O=C-N-[C:2]=[C:3]_20-1_000_000,1,1460
1460,[c:3]1:[c:2]:[c:1]:[o:5]:[n:4]:1>>Cl-[C:1]=[C:2].Cl-[C:3]=[N:4]-[O:5]_01001_00000_00000,1,1461
1461,[O:1].[c:2]1:[c:3]:[n:4]:[n:5]:[n:6]:1>>C-[O:1].[C:2]#[C:3].[N:4]=[N:5]=[N:6]_-100000_00001-1_000000,1,1462
1462,[c:1]:[n:4]:[c:3]:[c:2]>>O=[C:1].O=[C:2].C-O-P(=O)(-O-C)-[C:3]-[N:4]-C(=O)-O-C-c1:c:c:c:c:c:1_0011_0000_0000,1,1463
1463,[O:1]-[C:2]>>[O:1].C-C(-C)-c1:c:c:c(-C(=O)-C2=C(-O-[C:2])-C(=O)-N(-c3:c:c:c(-C-N):n:n:3)-C-2-c2:c:c:c(-C-C(-F)(-F)-F):c:c:2):c:c:1_10_00_00,1,1464
1464,[c:1]1:[n:5]:[c:4]:[n:3]:[o:2]:1>>[Na]-[O]-[C:1]=[O:2].O-[N:3]-[C:4]=[N:5]_00101_00000_00000,1,1465
1465,[C:1]-[O:2]>>Br-[C:1].C#C-C-[O:2]_00_00_00,1,1466
1466,[O:1].[O:4].[C:2]-[O:3]>>C-[O:1].[C:2]=[O:3].[O:4]-C1-C-C-C-C-O-1_-1-1-1-1_0000_0000,1,1467
1467,[C:3].[c:1]-[c:2]>>Cl-[c:1].O-B(-O)-[c:2].C-[Si](-C)(-C)-[C:3]_00-1_000_000,1,1468
1468,[N:1]-[C:2]>>[N:1].C-C-C-C-O-[C:2]_20_10_00,1,1469
1469,[C:1]=[C:2]>>[C:1].N#C-[C:2]=[O:3]_20-1_000_000,1,1470
1470,[N:3].[c:1]:[c:2]>>[C:1]-[C:2].O=C(-[N:3])-O-C-c1:c:c:c:c:c:1_11-1_000_000,1,1471
1471,[C:1]-[c:2].[O:3]=[C:4]>>Br-[C:1].O-B(-O)-[c:2].C1-C-[O:3]-[C:4]-O-1_0000_0000_0000,1,1472
1472,[O:1]-[C:2]>>[O:1].C-O-C-C(-C)-O-[C:2]_10_00_00,1,1473
1473,[C:1]-[F:2].[F:3]-[C:4]-[F:5]>>[C:1]-[Cl:2].[Cl:3]-[C:4]-[Cl:5]_00000_00000_00000,1,1474
1474,[O:1]=[c:2]>>[O:1].[c:2]=[N+]1-C-C-C-C-C-1_20_00_00,1,1475
1475,[O:2].[C:1]-[n:4]:[c:3]>>C-O-[C:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-[Si](-C)(-C)-[c:3]:[n:4]_0-1-11_0000_0000,1,1476
1476,[n:1]:[c:3]:[n:2]>>[N:1].[N:2].C-C-O-C(=O)-N=[C:3]-S-C_120_000_000,1,1477
1477,[O:2].[N:3].[O:1]-[C:4]>>[O:1].C-[O:2].O=C(-[N:3])-N-[C:4]_1-1-10_0000_0000,1,1478
1478,[C:1]1-[C:3]-[N:4]-[C:5]-[C:2]-1>>[C:1]=[C:2].C-O-[C:3]-[N:4](-C-c1:c:c:c:c:c:1)-[C:5]-[Si](-C)(-C)-C_000-10_00000_00000,1,1479
1479,[O:1]-[C:2]>>[Li]-[O:1].O=C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1-O-C-O-[C:2]_00_00_00,1,1480
1480,[O:3].[O:4].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(=O)-[O:3].[O:4]-C1-C-C-C-C-O-1_10-1-1_0000_0000,1,1481
1481,[O:3].[O:4].[c:1]-[N:2]>>[c:1].O-[N:2].C-C(=O)-[O:3].C-C(=O)-[O:4]_10-1-1_0000_0000,1,1482
1482,[N:1].[N:4]-[C:5]-[C:3]-[O:2]>>C-C(-C)(-C)-O-C(=O)-[N:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2]-[C:3]-[N:4]-[C:5]_-1-10-11_00000_00000,1,1483
1483,[C:1]-[S:4]-[C:3]=[O:2]>>Br-[C:1].[Cs]-[O:2]-[C:3]=[S:4]_0000_0000_2000,1,1484
1484,[O:2].[O:1]-[P:3]>>[O:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].O=P(-O-[P:3])(-O-C-c1:c:c:c:c:c:1)-O-C-c1:c:c:c:c:c:1_1-10_000_000,1,1485
1485,[N:2].[N:4].[c:1]-[c:3]>>Br-[c:1].C-C(-C)(-C)-O-C(=O)-[N:2].C-C1(-C)-C-O-B(-[c:3])-O-C-1.C-C(-C)(-C)-O-C(=O)-[N:4]_0-10-1_0000_0000,1,1486
1486,[N:3].[N:1]-[C:2]>>[N:1].N-N-[C:2].O=C(-[N:3])-O-C-c1:c:c:c:c:c:1_10-1_000_000,1,1487
1487,[n:2].[O:1]-[c:3]>>[O:1].C-C(-C)(-C)-O-C(=O)-[n:2].F-C(-F)(-F)-S(=O)(=O)-O-[c:3]_1-10_000_000,1,1488
1488,[c:3]1:[s:2]:[c:1]:[c:5]:[c:4]:1>>[C:1]-[S:2].Cl-[C:3]=[C:4]-[C:5]=O_21000_00000_00000,1,1489
1489,[C:1]=[N:2]/[N:3]=[C:4]/[C:5]>>O=[C:1].[N:2]-[N:3].F-C(-F)(-F)-S(=O)(=O)-O\[C:4]=[C:5]_0220-1_00000_00000,1,1490
1490,[O:3].[c:2]:[c:5]:[c:4]:[n:1]>>[n:1].[C:2].C-[O:3].Cl-[C:4]-[C:5]=O_02-110_00000_00000,1,1491
1491,[N:4].[N:3].[S:1]-[c:2]>>[S:1].Br-[c:2].C-N(-C)-C=[N:3].C-C(-C)(-C)-O-C(=O)-[N:4]_10-2-1_0000_0000,1,1492
1492,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-C1=C-C-C(-O-[C:2])(-S(-C)(=O)=O)-C=C-1_10_00_00,1,1493
1493,[O:5].[c:1]:[c:2]:[c:3]:[c:4]>>[C:1]-[C:2]-[C:3]-[C:4].[O:5]-C-c1:c:c:c:c:c:1_1111-1_00000_00000,1,1494
1494,[N:5].[c:2]:[n:1]:[c:3]:[c:4]>>[N:1].O=[C:2].O=[C:3]-[C:4].O=C(-[N:5])-c1:c:c:c:c:c:1_4001-1_10000_00000,1,1495
1495,[N:3].[C:1]-[F:2]>>O-[C:1].C-C-N(-C-C)-S(-F)(-F)-[F:2].C-C(-C)(-C)-S(=O)(=O)-[N:3]_00-1_000_200,1,1496
1496,[c:4]1:[c:3]:[n:1]:[n:2]:[c:5]:1>>[N:1]-[N:2].O/[C:3]=[C:4]/[C:5]=O_12000_00000_00000,1,1497
1497,[Cl:1]-[C:2]>>[Cl:1]-[Li].C-S(=O)(=O)-O-[C:2]_00_00_01,1,1498
1498,[O:3].[O:1]-[C:2]>>[O:1].O-[C:2].C-C(-C)(-C)-[Si](-C)(-C)-[O:3]_10-1_000_010,1,1499
1499,[O:1].[n:4].[N:5].[C:2]-[C:3]>>C-C-[O:1].[C:2]=[C:3].C-C(-C)(-C)-O-C(=O)-[n:4].C-C(-C)(-C)-O-C(=O)-[N:5]_-1-1-1-1-1_00000_00000,1,1500
1500,[C:1]-[O:2].[C:3]-[O:4].[C:5]-[O:6]>>[C:1]-[Cl:2].[C:3]-[Cl:4].[C:5]-[Cl:6]_0-10-10-1_000000_200000,1,1501
1501,[N:3].[n:4].[N:1]-[c:2]>>[N:1].Cl-[c:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-c1:c:c:c(-S(=O)(=O)-[n:4]):c:c:1_10-1-1_0000_0000,1,1502
1502,[O:1]-[C:2]>>[O:1].C-C-N-C-c1:c:c:c(-O-[C:2]):c:c:1_10_00_00,1,1503
1503,[N:3].[N:1]-[C:2]>>[N:1].C-O-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3]-C(=O)-O-C(-C)(-C)-C_10-2_000_000,1,1504
1504,[O:4].[O:2].[O:5].[N:6].[N:1]-[c:3]>>[N:1].C-[O:2].Cl-[c:3].C-C(=O)-[O:4].C-C(=O)-[O:5].O=C(-[N:6])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1_1-10-1-1-1_000000_000000,1,1505
1505,[O:1]-[C:2]>>[O:1].C-O-c1:c:c:c2:c(:c:1):c(-C-C(=O)-O-[C:2]):c(-C):n:2-C(=O)-c1:c:c:c(-Cl):c:c:1_10_00_00,1,1506
1506,[n:1].[c:2]-[c:3]>>[n:1].Br-[c:2].O-B(-O)-[c:3]_100_100_000,1,1507
1507,[O:1].[c:4]1:[c:5]:[c:6]:[n:2]:[n:3]:1>>C-C-[O:1].[N:2]-[N:3].C-N(-C)/[C:4]=[C:5]/[C:6]=O_-112000_000000_000000,1,1508
1508,[O:3].[N:1]-[C:2]>>[N:1].[C:2]-[O:3]_20-1_100_010,1,1509
1509,[C:2]-[N:4]-[C:3]-[O:1]>>[O:1].Br-[C:2].C-C(-C)(-C)-O-[C:3]-[N:4]_1001_0000_0000,1,1510
1510,[n:3].[c:1]-[C:2]>>Cl-[c:1].[C:2]-[Zn]-[Cl].O=S(=O)(-[n:3])-c1:c:c:c:c:c:1_00-1_000_000,1,1511
1511,[N:1]-[C:2]>>[N:1].O=C1-C=C-C(=O)-N-1-O-[C:2]_20_10_00,1,1512
1512,[n:4]:[n:5].[n:1]:[n:3]:[n:2]>>[N:1].[N:2].O=[N:3]-[O]-[Na].C-[Si](-C)(-C)-C-C-O-C-[n:4]:[n:5]_1200-1_00000_00000,1,1513
1513,[O:2].[c:3]:[c:4]:[o:1]>>[O:1].C-O-C-[O:2].[C:3]=[C:4]_1-101_0000_0000,1,1514
1514,[O:1]-[C:2]>>[O:1].C-C-O-C-O-[C:2]_10_00_00,1,1515
1515,[N:2].[N:1]-[C:3]>>[Li]-[N:1].F-C(-F)(-F)-C(=O)-[N:2].C-S(=O)(=O)-O-[C:3]_0-10_000_000,1,1516
1516,[N:1].[c:6]1:[c:5]:[n:4]:[c:3]:[c:2]:[c:7]:1>>C-C(-C)(-C)-O-C(=O)-[N:1].[C:2]1=[C:3]-[N:4]-[C:5]-[C:6]=[C:7]-1_-1001100_0000000_0000000,1,1517
1517,[n:2].[N:1]-[c:3]>>[N:1].C-[Si](-C)(-C)-C-C-O-C-[n:2].F-C(-F)(-F)-S(=O)(=O)-O-[c:3]_1-10_000_000,1,1518
1518,[N:3].[C:1]-[N:2]>>C-O-[C:1].C-C(-C)(-C)-O-C(=O)-[N:2].C-C(-C)(-C)-O-C(=O)-[N:3]-C(=O)-O-C(-C)(-C)-C_00-2_000_000,1,1519
1519,[C:1]=[O:2]>>C-C=[C:1].[K]-[O]-[Mn](=[O:2])(=[O])=[O]_00_00_00,1,1520
1520,[O:1]-[C:2]>>[O:1].O-C(=O)-c1:c:c:c(-O-[C:2]):c:c:1_10_00_00,1,1521
1521,[c:1]-[O:2]>>Br-[c:1].C-c1:n:c(-c2:n:n:n(-C):c:2-C-O-C(=O)-O-c2:c:c:c(-[N+](=O)-[O-]):c:c:2):c:c:c:1-[O:2]_00_00_00,1,1522
1522,[O:1]-[C:2]>>[O:1].N-c1:c:c:c(-O-[C:2]):c(-C(-O)=O):c:1_10_00_00,1,1523
1523,[N:3].[c:1]-[C:2]>>Br-[c:1].[C:2]-[Na].C-C(-C)(-C)-O-C(=O)-[N:3]_00-1_000_000,1,1524
1524,[O:2].[N:1]-[C:3]>>[N:1].C-C(-C)(-C)-[O:2].Br-C-C(=O)-O-[C:3]_1-10_000_000,1,1525
1525,[N:4].[C:3]-[N:5]-[C:2]-[O:1]>>[O:1].O-[C:2]-[C:3].O=C(-[N:4])-O-C-c1:c:c:c:c:c:1.O=P(-O-c1:c:c:c:c:c:1)(-O-c1:c:c:c:c:c:1)-[N:5]=[N+]=[N-]_100-1-1_00000_00000,1,1526
1526,[C:2]=[O:3].[O:5]-[B:4](-[O:6])-[c:1]>>Cl-[c:1].C-C-O-[C:2]-[O:3]-C-C.C-C(-C)-O-[B:4](-[O:5]-C(-C)-C)-[O:6]-C(-C)-C_0000-1-1_000000_000000,1,1527
1527,[O:2].[N:4].[O:1]-[C:3]>>[O:1].C-C(-C)(-C)-[O:2].[C:3]-O-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.[N:4]-C(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_1-10-1_0000_0000,1,1528
1528,[O:1].[c:5]:[c:4]:[c:3]:[n:2]>>[O:1]-C1-C-C-C-C-O-1.[N:2]-[C:3]-[C:4]=[C:5]_-11100_00000_00000,1,1529
1529,[N:3].[c:1]-[S:2]>>[c:1].Cl-[S:2].C-C-O-C(=O)-[N:3]_10-1_000_000,1,1530
1530,[c:1]:[n:2]:[c:3]:[n:4]>>C-O-[C:1].O=C-[N:2].O=[C:3]-[N:4]_0101_0000_0000,1,1531
1531,[n:1]:[n:2]-[c:3]>>[n:1]:[n:2].C-S(=O)(=O)-[c:3]_100_000_000,1,1532
1532,[C:4]=[O:5].[n:1]:[c:3]:[n:2]>>[N:1].[N:2].O=[C:3].C-C-O-[C:4]-[O:5]-C-C_12100_00000_00000,1,1533
1533,[O:2].[N:1]-[C:3]>>[N:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-C-O-[C:3]-O-[Si](-C)(-C)-C_1-1-1_000_000,1,1534
1534,[O:3].[O:4].[c:1]-[c:2]>>I-[c:1].O-B(-O)-[c:2].C-C(-C)(-C)-[Si](-C)(-C)-[O:3].C-C(-C)(-C)-[Si](-C)(-C)-[O:4]_00-1-1_0000_0000,1,1535
1535,[O:2].[o:1]:[c:3]>>[O:1].C-[O:2].F-[c:3]_1-10_000_000,1,1536
1536,[O:3].[Br:1]-[C:2]>>[Br:1].[C:2].C-C(-C)(-C)-[Si](-[O:3])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_01-1_-100_000,1,1537
1537,[O:6]-[c:5](:[c:1]):[c:4]:[c:3]:[n:2]>>[c:1].[N:2].C-C-O-[C:3]=[C:4]-[C:5](-[O-])=[O:6]_12000-1_000000_000000,1,1538
