,Template,edit_site,change_H,change_C,change_S,Frequency
6786,[N:2].[O:1]>>C-[O:1].C-C(-C)(-C)-[S@](=O)-[N:2]_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6787,[O:2].[O:3].[O:1]-[C:4]>>[O:1].C-C(-C)(-[O:2])-[O:3].O-C-[C@@H](-O)-C-O-[C:4]_1-1-10_0000_0000,"{'A': [2, 3], 'B': [(1, 4)], 'C': [], 'R': []}","{2: -1, 3: -1, 1: 1, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}",1
6788,[C:1]-[C:2]>>Br-[C:1].[C:2]-[Sn](-[CH3])(-[CH3])-[CH3]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
6789,[O:3].[O:4].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(=O)-[O:3].C-C(=O)-[O:4]_10-1-1_0000_0000,"{'A': [3, 4], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1, 4: -1}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",12
6790,[O:4].[c:1]-[S:3]=[O:2]>>Br-[c:1].[Na]-[O:2]-[S:3].C-c1:c:c:c(-S(=O)(=O)-[O:4]):c:c:1_000-1_0000_0000,"{'A': [4, 2], 'B': [(1, 3)], 'C': [], 'R': []}","{4: -1, 3: 0, 2: 0, 1: 0}","{4: 0, 3: 0, 2: 0, 1: 0}","{4: 0, 3: 0, 2: 0, 1: 0}",2
6791,[n:2].[c:1]-[C:3]>>I-[c:1].C-C(-C)(-C)-O-C(=O)-[n:2].C-N1-C-C(=O)-O-B(-[C:3])-O-C(=O)-C-1_0-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
6792,[C:1]1-[C:2]-[C:3]-[N:4]-[C:5]-1>>[C:1]=[C:2].[C:3]=[N:4]/[C:5]_001-10_00000_00000,"{'A': [], 'B': [(1, 5), (2, 3)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: 1, 4: -1, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",3
6793,[O:2].[C:1]-[S:4]=[O:3]>>Br-[C:1].C-C-[O:2].[Na]-[O:3]-[S:4]_0-100_0000_0000,"{'A': [2, 3], 'B': [(1, 4)], 'C': [], 'R': []}","{2: -1, 1: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 3: 0}",1
6794,[S:1]-[C:4]-[C:3]=[C:2]>>[S:1]-[C:2]-[C:3]=[C:4]_0000_0000_0000,"{'A': [2], 'B': [(1, 4)], 'C': [], 'R': []}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",4
6795,[N:1]>>O=C(-[N:1])-N-C1-C-C-C-C-C-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
6796,[N:1]-[C:2]>>O=C-[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6797,[n:3].[O:1]-[C:2]>>[O:1].I-[C:2].C-[Si](-C)(-C)-C-C-O-C-[n:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
6798,[O:1]>>C-C#C-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
6799,[N:1]-[C:4](=[O:5])-[C:3]=[N:2]>>[N:1].[N:2].Cl-[C:3](-Cl)(-Cl)-[C:4](-O)-[O:5]_12-111_00000_00000,"{'A': [], 'B': [(1, 4), (2, 3)], 'C': [], 'R': []}","{1: 1, 4: 1, 3: -1, 2: 2, 5: 1}","{1: 0, 4: 0, 3: 0, 2: 0, 5: 0}","{1: 0, 4: 0, 3: 0, 2: 0, 5: 0}",25
6800,[N:2].[O:1]>>[O:1]-C1-C-C-C-C-O-1.C-C-C-C-O-C(=O)-[N:2]_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6801,[c:3]1:[c:4]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-N(-C)/[C:3]=[C:4]/[C:5]=O_21000_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{3: 0, 4: 0, 5: 0, 1: 2, 2: 1}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}",29
6802,[O:3].[O:4].[O:5].[O:6].[O:1]-[c:2]>>[O:1].F-[c:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5].C-C(=O)-[O:6]_10-1-1-1-1_000000_000000,"{'A': [6, 5, 4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{6: -1, 5: -1, 4: -1, 3: -1, 2: 0, 1: 1}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",1
6803,[C:1]-[S:4]-[C:3]=[O:2]>>Cl-[C:1].[O:2]-[C:3]=[S:4]_0100_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{3: 0, 4: 0, 1: 0, 2: 1}","{3: 0, 4: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}",21
6804,[N:1]-[C:2]>>[N:1].C-C-N(-C-C)-C-C-O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",1
6805,[C:1]-[C:2]=[C:3]-[O:4]>>N#C-[C:1].[C:2]-[C:3]=[O:4]_020-1_0000_0000,"{'A': [], 'B': [(1, 2)], 'C': [(3, 4), (4, 3)], 'R': []}","{2: 2, 1: 0, 3: 0, 4: -1}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",5
6806,[c:1]:[n:4]:[n:3]:[c:2]>>C-C-O-[C:1].[C:2]=[N:3]\[N:4]_0001_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [(2, 3), (3, 2)], 'R': []}","{1: 0, 2: 0, 3: 0, 4: 1}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",8
6807,[O:1]>>O-P(-O)(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},7
6808,[N:3].[O:1]-[C:2]>>[O:1].Br-[C:2].O=C-[N:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1
6809,[S:1]-[C:2]>>[S:1].O=S(=O)(-[C:2])-c1:c:c:c:c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6810,[C:1]=[C:2]-[C:3]=[O:4]>>O-[C:1]-[C:2]-[C:3]1-O-C-C-[O:4]-1_0100_0000_1000,"{'A': [1, 3, 4], 'B': [], 'C': [], 'R': []}","{1: 0, 2: 1, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 1, 2: 0, 3: 0, 4: 0}",1
6811,[c:3]1:[c:4]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-O-[C:3](-O-C)-[C:4]-[C:5](-O-C)-O-C_21010_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{3: 0, 4: 1, 5: 0, 1: 2, 2: 1}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}",27
6812,[O:1].[O:2].[O:4].[O:3]>>C-[O:1].C-[O:2].C-[O:3].C-[Si](-C)(-C)-C-C-[O:4]_-1-1-1-1_0000_0000,"{'A': [2, 3, 4, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 3: -1, 4: -1, 1: -1}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",1
6813,[O:2].[C:1]-[N:3]>>Br-[C:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-C(-C)(-C)-O-C(=O)-[N:3]_0-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
6814,[F:1]-[c:2](:[c:3]-[F:4]):[c:5](-[F:6]):[c:7](-[F:8]):[c:9]-[F:10]>>[Cl:1]-[c:2](:[c:3]-[Cl:4]):[c:5](-[Cl:6]):[c:7](-[Cl:8]):[c:9]-[Cl:10]_0000000000_0000000000_0000000000,"{'A': [], 'B': [], 'C': [(3, 4), (4, 3), (2, 1), (1, 2), (5, 6), (6, 5), (7, 8), (8, 7), (9, 10), (10, 9)], 'R': []}","{3: 0, 4: 0, 2: 0, 1: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{3: 0, 4: 0, 2: 0, 1: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}","{3: 0, 4: 0, 2: 0, 1: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",5
6815,[c:4]1:[n:3]:[c:2]:[n:1]:[o:5]:1>>O/[N:1]=[C:2]\[N:3].C-C-O-[C:4]=[O:5]_00200_00000_00000,"{'A': [], 'B': [(3, 4), (1, 5)], 'C': [], 'R': []}","{4: 0, 5: 0, 1: 0, 2: 0, 3: 2}","{4: 0, 5: 0, 1: 0, 2: 0, 3: 0}","{4: 0, 5: 0, 1: 0, 2: 0, 3: 0}",12
6816,[N:1]>>[N:1]-C1-C-C-C-C-O-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},4
6817,[O:1].[n:2]>>C-C(-C)(-C)-[O:1].C-O-c1:c:c:c(-C-[n:2]):c:c:1_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",7
6818,[Br:1]-[C:4]-[C:3]=[C:2]>>Br-S(=O)-[Br:1].O-[C:2]-[C:3]=[C:4]_0000_0000_0000,"{'A': [2], 'B': [(1, 4)], 'C': [], 'R': []}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",10
6819,[n:3].[N:1]-[c:2]>>[N:1].F-[c:2].C-c1:c:c:c(-S(=O)(=O)-[n:3]):c:c:1_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",3
6820,[O:3].[N:1]-[C:2]>>[N:1].[C:2]-[O:3]_10-1_000_010,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 1, 1: 0}",25
6821,[C:1]-[N:3]-[C:2]>>O-[C:1].O-[C:2].N-C(=O)-[N:3]_001_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 0, 3: 1, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",24
6822,[O:1].[O:2].[n:3]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-[Si](-C)(-C)-C-C-O-C-[n:3]_-1-1-1_000_000,"{'A': [3, 1, 2], 'B': [], 'C': [], 'R': []}","{3: -1, 1: -1, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",2
6823,[O:2].[O:1]-[C:3]>>[O:1].C-[O:2].C-C(-C)(-C)-O-[C:3]_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",3
6824,[N:3].[N:4].[N:1]-[C:2]>>[N:1].Cl-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-C(-C)(-C)-O-C(=O)-[N:4]_10-1-1_0000_0000,"{'A': [3, 4], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1, 4: -1}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",3
6825,[O:3].[I:1]-[C:2]>>[I:1]-[Na].[C:2]-[O:3]_00-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",2
6826,[O:1].[O:2]>>C-[O:1].C-O-c1:c:c:c(-[C@H]2-O-c3:c(-O-C):c:c(-C(-O)-C(-[O:2])-C-O):c:c:3-[C@@H]-2-C-O):c:c:1-O-C_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
6827,[c:1]-[B:2]>>Cl-[c:1].C-C1(-C)-C-O-B(-[B:2])-O-C-1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",7
6828,[N:1]>>C-C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},7
6829,[n:1]:[c:3]:[n:2]>>[N:1].[N:2].S=[C:3]_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 1, 2: 1, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",23
6830,[O:1].[S:2]>>C-C(-C)(-C)-[O:1].C-O-c1:c:c:c(-C-[S:2]):c:c:1_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",8
6831,[c:1]-[C:2]>>C-O-[c:1].[Br]-[Mg]-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",14
6832,[O:2].[Cl:1]-[c:3]:[n:4]>>Cl-C(-Cl)(-Cl)-[Cl:1].C-C(=O)-[O:2].O=[c:3]:[n:4]_0-101_0000_0000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 4: 1, 3: 0, 1: 0}","{2: 0, 4: 0, 3: 0, 1: 0}","{2: 0, 4: 0, 3: 0, 1: 0}",3
6833,[C:1].[N:2]>>C-[Si](-C)(-C)-[C:1].C-C(-C)(-C)-O-C(=O)-[N:2]_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",23
6834,[O:1]-[C:2]>>[Li]-[O:1].C-[C@H]1-N(-[C:2])-C(=O)-O-[C@H]-1-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6835,[N:2].[O:1]>>C-C-[O:1].C-C-C(=O)-[N:2]_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6836,[O:1]>>[O:1]-C-c1:c:c:c:c:n:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},5
6837,[O:5]-[c:4]:[c:3]:[c:2]:[c:1]>>[C:1]-[C:2]-[C:3]-[C:4]=[O:5]_1110-1_00000_00000,"{'A': [], 'B': [], 'C': [(4, 5), (5, 4), (4, 3), (3, 4), (3, 2), (2, 3), (2, 1), (1, 2)], 'R': []}","{4: 0, 5: -1, 3: 1, 2: 1, 1: 1}","{4: 0, 5: 0, 3: 0, 2: 0, 1: 0}","{4: 0, 5: 0, 3: 0, 2: 0, 1: 0}",52
6838,[c:3]1:[c:2]:[n:1]:[c:5]:[c:4]:1>>[N:1].O=[C:2]-[C:3].Cl-[C:4]-[C:5]=O_30210_10000_00000,"{'A': [], 'B': [(3, 4), (1, 2), (1, 5)], 'C': [], 'R': []}","{3: 2, 2: 0, 1: 3, 5: 0, 4: 1}","{3: 0, 2: 0, 1: 1, 5: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 5: 0, 4: 0}",2
6839,[O:1]-[P:2]>>[O:1].C-C(-C)(-C)-O-[P:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",5
6840,[C:1]-[O:2]>>C-C(-C)(-C)-O-[C:1].O=C(-[O:2])-O-c1:c:c:c(-[N+](=O)-[O-]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",15
6841,[O:1]>>N-C-C-C-C-C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
6842,[c:2]1:[n:1]:[c:5]:[n:4]:[n:3]:1>>[N:1]-[C:2]=[N:3]-[N:4].[C:5](-n1:c:c:n:c:1)-n1:c:c:n:c:1_10010_00000_00000,"{'A': [], 'B': [(1, 5), (4, 5)], 'C': [(2, 3), (3, 2)], 'R': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",2
6843,[n:1]>>C-C(-C)(-C)-C(=O)-[n:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},15
6844,[S:3]-[c:4](:[n:1]):[n:2]>>[N:1].[N:2].[S:3]=[C:4](-n1:c:c:n:c:1)-n1:c:c:n:c:1_21-10_0000_0000,"{'A': [], 'B': [(1, 4), (2, 4)], 'C': [], 'R': []}","{1: 2, 4: 0, 3: -1, 2: 1}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",3
6845,[N:3].[c:1]-[C:2]>>[c:1].O-[C:2].C-C(-C)(-C)-O-C(=O)-[N:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",5
6846,[O:1].[O:2].[C:3]=[C:4]>>C-C(=O)-[O:1].C-C(=O)-[O:2].[C:3]=[C:4]/[C:5]_-1-110-1_00000_00000,"{'A': [2, 1], 'B': [], 'C': [(5, 4), (4, 5), (4, 3), (3, 4)], 'R': []}","{2: -1, 5: -1, 4: 0, 3: 1, 1: -1}","{2: 0, 5: 0, 4: 0, 3: 0, 1: 0}","{2: 0, 5: 0, 4: 0, 3: 0, 1: 0}",1
6847,[c:3]:[o:2]:[c:1]:[n:4]>>Cl-[C:1]=[O:2].[c:3]:[nH]:n:[n:4]_0000_0000_0000,"{'A': [], 'B': [(2, 3), (1, 4)], 'C': [], 'R': []}","{3: 0, 4: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}",16
6848,[N:2].[N:3].[N:1]>>O=C-[N:1].C-c1:[n:2]:c(-C):c:c:1.C-c1:[n:3]:c(-C):c:c:1_-1-2-2_000_000,"{'A': [2, 1, 3], 'B': [], 'C': [], 'R': []}","{2: -2, 1: -1, 3: -2}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
6849,[C:2]1-[C:1]-[O:3]-1>>Br-[C:1]-[C:2]=[O:3]_0-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",18
6850,[O:1]-[C:2]>>[O:1].Cl-c1:c:c:c(-O-[C:2]):c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6851,[N:2].[O:1].[O:3]>>C-[O:1].O=C(-[N:2])-[O:3]_-1-1-1_000_000,"{'A': [1, 2, 3], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
6852,[N:6]-[c:5]1:[c:4]:[c:3]:[n:1]:[n:2]:1>>[N:1]-[N:2].Cl\[C:3]=[C:4]\[C:5]#[N:6]_21000-2_000000_000000,"{'A': [], 'B': [(1, 3), (2, 5)], 'C': [], 'R': []}","{4: 0, 3: 0, 1: 2, 2: 1, 5: 0, 6: -2}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0, 6: 0}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0, 6: 0}",2
6853,[N:3].[N:1]-[C:2]>>[N:1].O=[C:2].C(-[N:3]-C-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_1-1-2_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -1, 3: -2}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
6854,[O:3]-[c:4]1:[c:7]:[c:6]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].[O:3]=[C:4]1-O-[C:5]-[C:6]=[C:7]-1_12-10000_0000000_0000000,"{'A': [], 'B': [(1, 5), (2, 4)], 'C': [(7, 6), (6, 7)], 'R': []}","{7: 0, 6: 0, 5: 0, 1: 1, 2: 2, 4: 0, 3: -1}","{7: 0, 6: 0, 5: 0, 1: 0, 2: 0, 4: 0, 3: 0}","{7: 0, 6: 0, 5: 0, 1: 0, 2: 0, 4: 0, 3: 0}",8
6855,[c:2]:[n:3]:[n:1]>>[N:1].[C:2].C-C(-C)(-C)-O-[N:3]=O_22-1_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 2, 1: 2, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",3
6856,[N:2].[O:1]>>C-C(=O)-[O:1].C-C(-C)(-C)-c1:c:c:c(-S(=O)(=O)-[N:2]):c:c:1_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
6857,[n:1].[n:3].[S:2]-[c:4]>>[n:1].[S:2].[n:3].I-[c:4]_-1110_0000_0000,"{'A': [], 'B': [(2, 4)], 'C': [], 'R': [1, 1, 3, 3]}","{4: 0, 2: 1, 1: -1, 3: 1}","{4: 0, 2: 0, 1: 0, 3: 0}","{4: 0, 2: 0, 1: 0, 3: 0}",6
6858,[c:1]:[c:2]:[n:3]>>[c:1].O=[C:2]-[N:3]_101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 3: 1, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",60
6859,[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].Br-[C:3]_100_-100_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: 0}","{1: -1, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
6860,[N:3].[O:2].[F:1]-[C:4]>>[F:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].O=S(=O)(-[N:3])-O-[C:4]_0-1-10_-1000_0000,"{'A': [3, 2], 'B': [(1, 4)], 'C': [], 'R': []}","{3: -1, 4: 0, 1: 0, 2: -1}","{3: 0, 4: 0, 1: -1, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}",1
6861,[O:1]=[c:2]:[n:3]>>[O:1].Br-[c:2]:[n:3]_20-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 2}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",17
6862,[C:1]=[O:2]>>[C:1].[O-]-[Cr](=[O:2])(=[O])-[O]-[Cr](-[O-])(=[O])=[O]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 2, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",19
6863,[O:3].[n:1]-[C:2]>>[n:1].Cl-[C:2].[O:3]-C-c1:c:c:c:c:c:1_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",7
6864,[O:3].[n:1]:[c:2]>>[N:1].C-C-O-[C:2].C-C(-C)(-C)-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
6865,[N:1]-[C:2]>>[N:1].C-C-O-[C:2]-O_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",9
6866,[n:1]-[C:2]>>[n:1].[C:2]-O-c1:c:c:c:c:n:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
6867,[N:4].[c:1]-[S:3]=[O:2]>>Br-[c:1].[O:2]-[S:3].[N:4]-C-c1:c:c:c:c:c:1_010-1_0000_0000,"{'A': [4], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: 1, 4: -1}","{1: 0, 3: 0, 2: 0, 4: 0}","{1: 0, 3: 0, 2: 0, 4: 0}",1
6868,[S:3]-[c:4](:[n:2]):[n:1]>>[N:1].[N:2].[S:3]=[C:4](-n1:c:c:n:c:1)-n1:c:c:n:c:1_12-10_0000_0000,"{'A': [], 'B': [(2, 4), (1, 4)], 'C': [], 'R': []}","{2: 2, 4: 0, 3: -1, 1: 1}","{2: 0, 4: 0, 3: 0, 1: 0}","{2: 0, 4: 0, 3: 0, 1: 0}",4
